date,code,days,settle
1983-06-30,CME_CLF1984,169,30.950000762939453
1983-07-31,CME_CLF1984,140,31.700000762939453
1983-08-31,CME_CLF1984,107,31.459999084472656
1983-09-30,CME_CLF1984,77,30.299999237060547
1983-10-31,CME_CLF1984,46,30.25
1983-11-30,CME_CLF1984,16,29.229999542236328
1983-12-31,CME_CLF1984,0,28.56999969482422
1984-12-31,CME_CLF1985,0,26.450000762939453
1984-11-30,CME_CLF1985,14,27.309999465942383
1984-10-31,CME_CLF1985,44,28.31999969482422
1984-09-30,CME_CLF1985,77,29.8700008392334
1984-08-31,CME_CLF1985,105,29.700000762939453
1984-07-31,CME_CLF1985,136,28.18000030517578
1984-06-30,CME_CLF1985,168,30.350000381469727
1984-05-31,CME_CLF1985,197,30.799999237060547
1984-04-30,CME_CLF1985,228,30.149999618530273
1984-03-31,CME_CLF1985,259,30.350000381469727
1984-02-29,CME_CLF1985,289,30.030000686645508
1985-12-31,CME_CLF1986,0,26.530000686645508
1985-11-30,CME_CLF1986,21,29.75
1985-10-31,CME_CLF1986,48,29.3799991607666
1985-09-30,CME_CLF1986,79,28.100000381469727
1985-08-31,CME_CLF1986,110,27.149999618530273
1985-07-31,CME_CLF1986,140,25.3799991607666
1985-06-30,CME_CLF1986,173,25.200000762939453
1984-11-30,CME_CLF1986,383,26.719999313354492
1985-04-30,CME_CLF1986,232,26.770000457763672
1985-03-31,CME_CLF1986,264,27.389999389648438
1985-02-28,CME_CLF1986,293,25.450000762939453
1985-01-31,CME_CLF1986,321,25.350000381469727
1984-12-31,CME_CLF1986,355,25.90999984741211
1984-10-31,CME_CLF1986,413,27.65999984741211
1985-05-31,CME_CLF1986,201,26.450000762939453
1986-06-30,CME_CLF1987,172,12.819999694824219
1986-12-31,CME_CLF1987,0,16.209999084472656
1986-11-30,CME_CLF1987,23,15.0
1986-09-30,CME_CLF1987,80,14.850000381469727
1986-08-31,CME_CLF1987,112,15.75
1986-07-31,CME_CLF1987,141,11.359999656677246
1986-05-31,CME_CLF1987,203,13.510000228881836
1986-10-31,CME_CLF1987,49,15.430000305175781
1986-03-31,CME_CLF1987,263,11.739999771118164
1985-10-31,CME_CLF1987,414,25.18000030517578
1985-11-30,CME_CLF1987,387,24.540000915527344
1986-04-30,CME_CLF1987,233,12.819999694824219
1986-01-31,CME_CLF1987,322,19.229999542236328
1986-02-28,CME_CLF1987,294,15.489999771118164
1985-12-31,CME_CLF1987,353,22.06999969482422
1987-07-31,CME_CLF1988,143,20.610000610351562
1987-12-31,CME_CLF1988,0,15.15999984741211
1987-11-30,CME_CLF1988,21,18.510000228881836
1987-10-31,CME_CLF1988,52,19.84000015258789
1987-09-30,CME_CLF1988,82,19.3799991607666
1987-08-31,CME_CLF1988,112,19.3799991607666
1987-05-31,CME_CLF1988,206,18.75
1987-04-30,CME_CLF1988,235,17.729999542236328
1987-03-31,CME_CLF1988,265,17.959999084472656
1987-02-28,CME_CLF1988,297,16.6299991607666
1987-01-31,CME_CLF1988,325,18.079999923706055
1987-06-30,CME_CLF1988,174,20.049999237060547
1988-08-31,CME_CLF1989,111,15.260000228881836
1988-11-30,CME_CLF1989,20,15.319999694824219
1988-10-31,CME_CLF1989,50,13.5600004196167
1988-09-30,CME_CLF1989,81,12.960000038146973
1988-12-31,CME_CLF1989,0,17.729999542236328
1988-07-31,CME_CLF1989,144,16.690000534057617
1988-05-31,CME_CLF1989,203,17.8799991607666
1988-04-30,CME_CLF1989,235,17.670000076293945
1988-03-31,CME_CLF1989,264,16.610000610351562
1988-02-29,CME_CLF1989,295,15.510000228881836
1988-01-31,CME_CLF1989,326,16.059999465942383
1988-06-30,CME_CLF1989,173,15.75
1989-12-31,CME_CLF1990,0,22.329999923706055
1989-11-30,CME_CLF1990,19,19.889999389648438
1989-10-31,CME_CLF1990,49,19.649999618530273
1989-09-30,CME_CLF1990,81,19.68000030517578
1989-08-31,CME_CLF1990,110,18.530000686645508
1989-07-31,CME_CLF1990,141,18.049999237060547
1989-05-31,CME_CLF1990,202,17.450000762939453
1989-04-30,CME_CLF1990,235,17.510000228881836
1989-03-31,CME_CLF1990,263,17.209999084472656
1989-02-28,CME_CLF1990,294,16.3799991607666
1989-01-31,CME_CLF1990,322,15.75
1989-06-30,CME_CLF1990,172,18.1200008392334
1990-06-30,CME_CLF1991,172,18.969999313354492
1990-12-31,CME_CLF1991,0,27.860000610351562
1990-11-30,CME_CLF1991,18,28.850000381469727
1990-10-31,CME_CLF1991,48,33.970001220703125
1990-09-30,CME_CLF1991,81,36.75
1990-08-31,CME_CLF1991,109,26.100000381469727
1990-07-31,CME_CLF1991,140,21.8799991607666
1990-05-31,CME_CLF1991,201,20.020000457763672
1990-04-30,CME_CLF1991,232,20.200000762939453
1990-03-31,CME_CLF1991,263,20.75
1990-02-28,CME_CLF1991,293,20.959999084472656
1990-01-31,CME_CLF1991,321,19.889999389648438
1989-12-31,CME_CLF1991,354,19.540000915527344
1989-11-30,CME_CLF1991,383,18.469999313354492
1989-10-31,CME_CLF1991,413,18.450000762939453
1989-09-30,CME_CLF1991,445,18.670000076293945
1989-08-31,CME_CLF1991,474,18.139999389648438
1991-12-31,CME_CLF1992,0,19.1299991607666
1991-11-30,CME_CLF1992,20,21.479999542236328
1991-10-31,CME_CLF1992,49,23.149999618530273
1991-09-30,CME_CLF1992,80,21.979999542236328
1991-08-31,CME_CLF1992,111,21.850000381469727
1991-07-31,CME_CLF1992,141,21.299999237060547
1991-06-30,CME_CLF1992,174,20.3799991607666
1991-05-31,CME_CLF1992,202,21.389999389648438
1991-04-30,CME_CLF1992,233,20.09000015258789
1990-07-31,CME_CLF1992,506,21.729999542236328
1991-02-28,CME_CLF1992,294,18.3799991607666
1991-01-31,CME_CLF1992,322,18.719999313354492
1990-12-31,CME_CLF1992,353,22.989999771118164
1990-11-30,CME_CLF1992,384,22.93000030517578
1990-10-31,CME_CLF1992,414,25.25
1990-09-30,CME_CLF1992,447,27.709999084472656
1990-08-31,CME_CLF1992,475,23.309999465942383
1991-03-31,CME_CLF1992,266,19.329999923706055
1992-06-30,CME_CLF1993,171,21.309999465942383
1992-07-31,CME_CLF1993,140,21.479999542236328
1992-08-31,CME_CLF1993,109,21.200000762939453
1992-05-31,CME_CLF1993,203,21.6299991607666
1992-10-31,CME_CLF1993,49,20.649999618530273
1992-11-30,CME_CLF1993,18,19.889999389648438
1992-12-31,CME_CLF1993,0,19.829999923706055
1992-09-30,CME_CLF1993,79,21.56999969482422
1992-04-30,CME_CLF1993,232,20.56999969482422
1991-06-30,CME_CLF1993,539,20.06999969482422
1992-02-29,CME_CLF1993,294,19.170000076293945
1992-01-31,CME_CLF1993,322,19.18000030517578
1991-12-31,CME_CLF1993,353,19.59000015258789
1991-11-30,CME_CLF1993,385,20.479999542236328
1991-10-31,CME_CLF1993,414,21.190000534057617
1991-09-30,CME_CLF1993,445,20.809999465942383
1991-08-31,CME_CLF1993,476,20.950000762939453
1991-07-31,CME_CLF1993,506,20.8799991607666
1992-03-31,CME_CLF1993,262,19.469999313354492
1993-06-30,CME_CLF1994,173,19.68000030517578
1993-07-31,CME_CLF1994,143,18.579999923706055
1993-08-31,CME_CLF1994,111,18.8700008392334
1993-05-31,CME_CLF1994,206,20.389999389648438
1993-10-31,CME_CLF1994,52,17.1200008392334
1993-11-30,CME_CLF1994,20,15.430000305175781
1993-12-31,CME_CLF1994,0,14.180000305175781
1993-09-30,CME_CLF1994,81,18.989999771118164
1993-04-30,CME_CLF1994,234,20.81999969482422
1992-06-30,CME_CLF1994,538,20.479999542236328
1993-02-28,CME_CLF1994,297,20.65999984741211
1992-07-31,CME_CLF1994,507,20.40999984741211
1992-08-31,CME_CLF1994,476,20.290000915527344
1992-09-30,CME_CLF1994,446,20.6200008392334
1993-03-31,CME_CLF1994,264,20.65999984741211
1992-11-30,CME_CLF1994,385,19.729999542236328
1992-12-31,CME_CLF1994,354,19.780000686645508
1993-01-31,CME_CLF1994,325,20.479999542236328
1992-10-31,CME_CLF1994,416,20.309999465942383
1994-04-30,CME_CLF1995,235,16.670000076293945
1994-11-30,CME_CLF1995,20,18.049999237060547
1994-10-31,CME_CLF1995,50,18.020000457763672
1994-09-30,CME_CLF1995,81,18.459999084472656
1994-08-31,CME_CLF1995,111,17.59000015258789
1994-07-31,CME_CLF1995,144,19.18000030517578
1994-06-30,CME_CLF1995,173,18.25
1994-05-31,CME_CLF1995,203,17.579999923706055
1994-12-31,CME_CLF1995,0,16.979999542236328
1994-03-31,CME_CLF1995,264,15.880000114440918
1994-01-31,CME_CLF1995,323,16.34000015258789
1993-12-31,CME_CLF1995,355,16.690000534057617
1993-11-30,CME_CLF1995,385,17.459999084472656
1993-10-31,CME_CLF1995,417,18.510000228881836
1993-09-30,CME_CLF1995,446,19.469999313354492
1993-08-31,CME_CLF1995,476,19.420000076293945
1993-07-31,CME_CLF1995,508,19.1200008392334
1993-06-30,CME_CLF1995,538,20.0
1994-02-28,CME_CLF1995,295,16.139999389648438
1995-06-30,CME_CLF1996,172,17.079999923706055
1995-07-31,CME_CLF1996,141,17.18000030517578
1995-08-31,CME_CLF1996,110,17.31999969482422
1995-05-31,CME_CLF1996,202,18.440000534057617
1995-10-31,CME_CLF1996,49,17.399999618530273
1995-11-30,CME_CLF1996,19,18.18000030517578
1995-12-31,CME_CLF1996,0,19.1200008392334
1995-09-30,CME_CLF1996,81,17.170000076293945
1995-03-31,CME_CLF1996,263,17.989999771118164
1995-04-30,CME_CLF1996,235,18.709999084472656
1994-06-30,CME_CLF1996,537,18.190000534057617
1995-01-31,CME_CLF1996,322,17.860000610351562
1994-12-31,CME_CLF1996,354,17.920000076293945
1994-11-30,CME_CLF1996,384,17.979999542236328
1994-10-31,CME_CLF1996,414,17.809999465942383
1994-09-30,CME_CLF1996,445,18.510000228881836
1994-08-31,CME_CLF1996,475,17.809999465942383
1994-07-31,CME_CLF1996,508,18.979999542236328
1995-02-28,CME_CLF1996,294,17.760000228881836
1996-07-31,CME_CLF1997,141,18.979999542236328
1996-08-31,CME_CLF1997,111,20.799999237060547
1996-09-30,CME_CLF1997,80,23.200000762939453
1996-05-31,CME_CLF1997,202,17.8799991607666
1996-11-30,CME_CLF1997,22,23.75
1996-12-31,CME_CLF1997,0,26.56999969482422
1996-06-30,CME_CLF1997,174,18.530000686645508
1996-10-31,CME_CLF1997,49,23.09000015258789
1996-04-30,CME_CLF1997,233,18.350000381469727
1996-01-31,CME_CLF1997,323,16.899999618530273
1996-02-29,CME_CLF1997,294,17.110000610351562
1995-12-31,CME_CLF1997,356,17.549999237060547
1995-11-30,CME_CLF1997,385,17.040000915527344
1995-10-31,CME_CLF1997,415,16.950000762939453
1995-09-30,CME_CLF1997,447,16.979999542236328
1995-08-31,CME_CLF1997,476,17.329999923706055
1995-07-31,CME_CLF1997,507,17.43000030517578
1995-06-30,CME_CLF1997,538,17.420000076293945
1996-03-31,CME_CLF1997,265,18.079999923706055
1997-01-31,CME_CLF1998,322,20.610000610351562
1997-05-31,CME_CLF1998,203,20.799999237060547
1997-03-31,CME_CLF1998,263,20.260000228881836
1997-04-30,CME_CLF1998,233,20.010000228881836
1997-07-31,CME_CLF1998,141,20.149999618530273
1997-06-30,CME_CLF1998,172,20.0
1997-09-30,CME_CLF1998,80,21.040000915527344
1997-10-31,CME_CLF1998,49,21.18000030517578
1997-11-30,CME_CLF1998,23,19.149999618530273
1997-12-31,CME_CLF1998,0,18.389999389648438
1996-12-31,CME_CLF1998,353,20.610000610351562
1997-08-31,CME_CLF1998,112,19.860000610351562
1996-11-30,CME_CLF1998,387,19.8700008392334
1997-02-28,CME_CLF1998,294,19.450000762939453
1996-09-30,CME_CLF1998,445,19.309999465942383
1996-10-31,CME_CLF1998,414,19.700000762939453
1995-11-30,CME_CLF1998,750,17.1200008392334
1995-12-31,CME_CLF1998,721,17.290000915527344
1996-01-31,CME_CLF1998,688,17.1200008392334
1996-02-29,CME_CLF1998,659,17.040000915527344
1996-03-31,CME_CLF1998,630,17.860000610351562
1995-10-31,CME_CLF1998,780,17.1299991607666
1996-04-30,CME_CLF1998,598,17.920000076293945
1996-05-31,CME_CLF1998,567,17.350000381469727
1996-06-30,CME_CLF1998,539,17.600000381469727
1995-09-30,CME_CLF1998,812,17.209999084472656
1996-07-31,CME_CLF1998,506,17.700000762939453
1996-08-31,CME_CLF1998,476,18.1200008392334
1998-01-31,CME_CLF1999,325,18.290000915527344
1998-02-28,CME_CLF1999,297,17.559999465942383
1998-03-31,CME_CLF1999,265,17.1200008392334
1998-04-30,CME_CLF1999,235,17.360000610351562
1998-05-31,CME_CLF1999,206,17.049999237060547
1998-08-31,CME_CLF1999,112,14.149999618530273
1998-07-31,CME_CLF1999,143,15.3100004196167
1998-12-31,CME_CLF1999,0,10.8100004196167
1998-09-30,CME_CLF1999,82,16.25
1998-10-31,CME_CLF1999,52,14.609999656677246
1998-11-30,CME_CLF1999,21,11.220000267028809
1997-12-31,CME_CLF1999,355,18.639999389648438
1998-06-30,CME_CLF1999,174,15.970000267028809
1997-11-30,CME_CLF1999,390,19.420000076293945
1997-06-30,CME_CLF1999,539,19.920000076293945
1997-09-30,CME_CLF1999,447,20.25
1996-08-31,CME_CLF1999,843,17.81999969482422
1996-09-30,CME_CLF1999,812,18.530000686645508
1996-10-31,CME_CLF1999,781,18.350000381469727
1997-10-31,CME_CLF1999,416,20.139999389648438
1996-12-31,CME_CLF1999,720,19.530000686645508
1997-01-31,CME_CLF1999,689,19.329999923706055
1996-11-30,CME_CLF1999,754,18.8700008392334
1997-03-31,CME_CLF1999,630,20.229999542236328
1997-04-30,CME_CLF1999,600,19.860000610351562
1997-05-31,CME_CLF1999,570,20.209999084472656
1997-07-31,CME_CLF1999,508,19.90999984741211
1997-08-31,CME_CLF1999,479,19.700000762939453
1997-02-28,CME_CLF1999,661,19.690000534057617
1999-01-31,CME_CLF2000,325,13.819999694824219
1999-02-28,CME_CLF2000,297,13.239999771118164
1999-03-31,CME_CLF2000,264,16.020000457763672
